;	,	=	+	-	*	/	^	(	)	i	$
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	28
6	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
31	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	30
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29
32	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
33	33	-1	15	16	17	18	19	-1	-1	-1	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
41	41	-1	41	41	41	41	41	-1	41	-1	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
-1	-1	-1	-1	12	-1	-1	-1	13	-1	14	-1
39	39	-1	39	39	39	39	17	-1	39	-1	-1
-1	-1	-1	15	16	17	18	19	-1	27	-1	-1
34	34	-1	34	34	17	18	19	-1	34	-1	-1
35	35	-1	35	35	17	18	19	-1	35	-1	-1
36	36	-1	36	36	36	36	19	-1	36	-1	-1
37	37	-1	37	37	37	37	19	-1	37	-1	-1
38	38	-1	38	38	38	38	38	-1	38	-1	-1
40	40	-1	40	40	40	40	40	-1	40	-1	-1
